record_id,system_type,tier,z_i,o,b,f,x,g
A001,N,2,11110,1,1,1,1,0
A002,N,1,11110,1,1,1,1,0
A003,N,1,01110,0,1,1,1,0
A004,N,2,11110,1,1,1,1,0
A005,N,0,00011,0,0,0,1,1
A006,N,1,01110,0,1,1,1,0
A007,N,2,11110,1,1,1,1,0
A008,N,2,11110,1,1,1,1,0
A009,T,1,11111,1,1,1,1,1
A010,N,0,00001,0,0,0,0,1
A011,N,0,10111,1,0,1,1,1
A012,N,0,00001,0,0,0,0,1
A013,A,2,11111,1,1,1,1,1
A014,N,0,01000,0,1,0,0,0
A015,A,1,11111,1,1,1,1,1
A016,N,1,11110,1,1,1,1,0
A017,N,1,11011,1,1,0,1,1
A018,N,1,11010,1,1,0,1,0
A019,T,1,11011,1,1,0,1,1
A020,N,1,00000,0,0,0,0,0
A021,A,1,11111,1,1,1,1,1
A022,T,0,10000,1,0,0,0,0
A023,T,1,11100,1,1,1,0,0
A024,A,1,11110,1,1,1,1,0
A025,A,2,11110,1,1,1,1,0
A026,A,2,11110,1,1,1,1,0
A027,N,0,11000,1,1,0,0,0
A028,N,0,11000,1,1,0,0,0
A029,N,0,01000,0,1,0,0,0
A030,A,0,00010,0,0,0,1,0
A031,N,1,11110,1,1,1,1,0
A032,A,2,11110,1,1,1,1,0
A033,N,0,11001,1,1,0,0,1
A034,N,0,01110,0,1,1,1,0
A035,N,0,01000,0,1,0,0,0
A036,N,0,01000,0,1,0,0,0
A037,N,0,10001,1,0,0,0,1
A038,N,0,11000,1,1,0,0,0
A039,N,2,11110,1,1,1,1,0
A040,N,0,00000,0,0,0,0,0
A041,A,1,11111,1,1,1,1,1
A042,N,1,11110,1,1,1,1,0
A043,N,1,11111,1,1,1,1,1
A044,N,0,01010,0,1,0,1,0
A045,T,1,11000,1,1,0,0,0
A046,N,0,01001,0,1,0,0,1
A047,N,2,11110,1,1,1,1,0
A048,N,0,01001,0,1,0,0,1
A049,N,0,11000,1,1,0,0,0
A050,A,1,11010,1,1,0,1,0
A051,T,0,01000,0,1,0,0,0
A052,N,2,11110,1,1,1,1,0
A053,N,2,11010,1,1,0,1,0
A054,N,0,01000,0,1,0,0,0
A055,T,0,00010,0,0,0,1,0
A056,N,1,11000,1,1,0,0,0
A058,N,1,11000,1,1,0,0,0
A059,T,0,01001,0,1,0,0,1
A060,N,1,11000,1,1,0,0,0
A061,N,1,11000,1,1,0,0,0
A062,N,2,11110,1,1,1,1,0
A063,N,1,11000,1,1,0,0,0
A064,N,2,11110,1,1,1,1,0
A065,T,0,01010,0,1,0,1,0
A066,N,1,01000,0,1,0,0,0
A067,T,0,01000,0,1,0,0,0
A068,A,2,11111,1,1,1,1,1
A069,T,0,01011,0,1,0,1,1
A070,A,2,11111,1,1,1,1,1
A071,A,2,11111,1,1,1,1,1
A072,A,2,11111,1,1,1,1,1
A073,A,1,11011,1,1,0,1,1
A074,A,1,11011,1,1,0,1,1
A075,A,2,11111,1,1,1,1,1
A076,A,2,11111,1,1,1,1,1
A077,A,1,11111,1,1,1,1,1
A078,A,2,11111,1,1,1,1,1
A079,A,2,11111,1,1,1,1,1
A080,N,2,11111,1,1,1,1,1
A081,A,1,11011,1,1,0,1,1
A082,T,1,11111,1,1,1,1,1
